,air_pressure(mBar),date,coordinates,air_temperature,mass_concentration_of_chlorophyll_in_sea_water,relative_humidity,mass_concentration_of_oxygen_in_sea_wate,sea_water_practical_salinity,USA_SSHS,xco2,Methane_ppbv,tropical_storm_occurence
48,1011.9,20150603,29.0-88.0,27.8,,,,,,,,0.0
49,9999.0,20150603,29.0-92.0,30.5,,,,,,,,0.0
50,1012.2,20150603,28.0-92.0,29.4,,,,,,,,0.0
51,1012.67,20150603,28.0-94.0,10.8,,40.2,,35.17,,,,0.0
52,1012.1,20150603,30.0-87.0,29.1,,,,,,,,0.0
53,1011.4,20150603,29.0-97.0,27.7,,,,,,,,0.0
54,1012.6,20150603,28.0-95.0,27.6,,,,,,,,0.0
55,1012.0,20150603,29.0-94.0,28.2,,,,,,,,0.0
56,1012.6,20150603,30.0-88.0,27.5,,69.0,7.29,0.6,,,,0.0
57,1012.035,20150603,30.0-89.0,28.21,,,,,,,,0.0
58,1012.6,20150603,29.0-89.0,28.9,,,,,,,,0.0
59,1012.1,20150603,29.0-90.0,28.9,,62.4,,,,,,0.0
60,1011.4,20150603,30.0-90.0,31.9,,,,,,,,0.0
61,1012.0,20150603,30.0-91.0,29.9,,,,,,,,0.0
62,1011.8,20150603,29.0-91.0,28.3,,41.7,,0.142,,,,0.0
63,1011.393,20150603,30.0-93.0,28.432,,,,,,,,0.0
64,1012.6,20150603,29.0-95.0,27.273,,87.6,,21.51,,,,0.0
65,9999.0,20150603,28.0-96.0,27.9,,,,21.9818,,,,0.0
66,1012.3,20150603,30.0-95.0,31.5,,,,1.737,,,,0.0
67,1012.3,20150603,30.0-94.0,28.0,,,,17.6797,,,,0.0
68,,20150603,28.0-89.0,27.2,,,,,,,,0.0
69,,20150603,30.0-92.0,28.8,,,,,,,,0.0
70,,20150603,28.0-88.0,29.9,,,,,,,,0.0
71,,20150603,28.0-97.0,,,,,1.1,,,,0.0
72,1015.5,20150604,28.0-95.0,27.5,,,,,,,,0.0
73,1014.9,20150604,29.0-94.0,28.4,,,,,,,,0.0
74,1014.4,20150604,30.0-87.0,28.9,,,,,,,,0.0
75,1013.7,20150604,30.0-90.0,30.0,,,,,,,,0.0
76,1014.3,20150604,29.0-97.0,27.7,,,,,,,,0.0
77,1015.1,20150604,29.0-89.0,28.9,,,,,,,,0.0
78,1014.4,20150604,30.0-91.0,27.6,,,,,,,,0.0
79,1014.037,20150604,30.0-93.0,30.189,,,,,,,,0.0
80,1014.086,20150604,30.0-89.0,29.286,,,,,,,,0.0
81,9999.0,20150604,29.0-92.0,30.1,,,,,,,,0.0
82,1014.9,20150604,28.0-92.0,30.0,,,,,,,,0.0
83,1014.6,20150604,29.0-88.0,27.8,,,,,,,,0.0
84,1015.0,20150604,30.0-88.0,28.93,,67.94,7.42,27.26,,,,0.0
85,1014.55,20150604,29.0-95.0,21.0,,90.3,,18.67,,,,0.0
86,1015.14,20150604,28.0-94.0,11.0,,45.9,,35.13,,,,0.0
87,1011.5,20150604,29.0-90.0,29.1,,74.2,,,,,,0.0
88,760.3,20150604,29.0-91.0,28.28,,55.2,,1298.55,,,,0.0
89,9999.0,20150604,28.0-96.0,28.4,,,,26.2388,,,,0.0
90,1014.7,20150604,30.0-95.0,30.9,,,,2.263,,,,0.0
91,1014.6,20150604,30.0-94.0,28.5,,,,18.7418,,,,0.0
92,,20150604,30.0-92.0,30.6,,,,,,,,0.0
93,,20150604,28.0-89.0,27.5,,,,,,,,0.0
94,,20150604,28.0-88.0,29.3,,,,,,,,0.0
95,,20150604,28.0-97.0,,,,,25.9344,,,,0.0
96,9999.0,20150605,29.0-92.0,29.2,,,,,,,,0.0
97,1014.9,20150605,28.0-92.0,31.1,,,,,,,,0.0
98,1013.9,20150605,29.0-88.0,27.8,,,,,,,,0.0
99,1015.09,20150605,28.0-94.0,11.3,,46.5,,35.29,,,,0.0
100,1013.8,20150605,30.0-87.0,30.4,,,,,,,,0.0
101,1015.0,20150605,29.0-89.0,30.8,,,,,,,,0.0
102,1014.6,20150605,29.0-90.0,29.9,,79.2,,,,,,0.0
103,1013.7,20150605,30.0-90.0,33.3,,,,,,,,0.0
104,1014.3,20150605,30.0-91.0,30.0,,,,,,,,0.0
105,1014.3,20150605,29.0-91.0,28.8,,52.6,,0.141,,,,0.0
106,1014.5,20150605,29.0-97.0,28.1,,,,,,,,0.0
107,1015.7,20150605,28.0-95.0,27.7,,,,,,,,0.0
108,1014.4,20150605,29.0-94.0,29.1,,,,,,,,0.0
109,1014.7,20150605,30.0-88.0,28.3,,47.0,7.1,1.3,,,,0.0
110,1014.009,20150605,30.0-89.0,29.42,,,,19.36,,,,0.0
111,1013.721,20150605,30.0-93.0,31.33,,,,,,,,0.0
112,1013.5,20150605,29.0-95.0,28.0,,93.8,,21.2,,,,0.0
113,9999.0,20150605,28.0-96.0,27.7,,,,22.454,,,,0.0
114,1014.8,20150605,30.0-95.0,32.1,,,,2.505,,,,0.0
115,1014.8,20150605,30.0-94.0,28.9,,,,17.7892,,,,0.0
116,,20150605,28.0-89.0,27.9,,,,,,,,0.0
117,,20150605,30.0-92.0,28.9,,,,,,,,0.0
118,,20150605,28.0-88.0,29.7,,,,,,,,0.0
119,,20150605,28.0-97.0,,,,,0.8,,,,0.0
120,9999.0,20150606,29.0-92.0,31.9,,,,,,,,0.0
121,1013.9,20150606,28.0-92.0,29.4,,,,,,,,0.0
122,1012.9,20150606,29.0-88.0,28.3,,,,,,,,0.0
123,1014.32,20150606,28.0-94.0,12.3,,42.1,,35.2,,,,0.0
124,1013.0,20150606,30.0-87.0,26.9,,,,,,,,0.0
125,1012.6,20150606,30.0-90.0,33.3,,,,,,,,0.0
126,1013.1,20150606,29.0-97.0,29.3,,,,,,,,0.0
127,1014.4,20150606,28.0-95.0,29.0,,,,,,,,0.0
128,1013.3,20150606,29.0-94.0,29.7,,,,,,,,0.0
129,1013.5,20150606,30.0-88.0,27.2,,64.0,6.67,2.3,,,,0.0
130,1012.939,20150606,30.0-89.0,27.255,,,,21.34,,,,0.0
131,1013.7,20150606,29.0-89.0,31.1,,,,,,,,0.0
132,1013.3,20150606,29.0-90.0,31.4,,77.2,,,,,,0.0
133,1013.2,20150606,30.0-91.0,31.3,,,,,,,,0.0
134,1013.1,20150606,29.0-91.0,30.1,,46.0,,0.141,,,,0.0
135,1012.654,20150606,30.0-93.0,30.284,,,,,,,,0.0
136,1014.6,20150606,29.0-95.0,28.826,,94.7,,19.36,,,,0.0
137,9999.0,20150606,28.0-96.0,28.6,,,,23.5033,,,,0.0
138,1013.6,20150606,30.0-95.0,32.8,,,,2.939,,,,0.0
139,1013.4,20150606,30.0-94.0,30.2,,,,16.9891,,,,0.0
140,,20150606,28.0-89.0,28.4,,,,,,,,0.0
141,,20150606,30.0-92.0,30.2,,,,,,,,0.0
142,,20150606,28.0-88.0,30.0,,,,,,,,0.0
143,,20150606,28.0-97.0,,,,,0.8,,,,0.0
144,9999.0,20150607,29.0-92.0,30.0,,,,,,,,0.0
145,1013.9,20150607,28.0-92.0,30.0,,,,,,,,0.0
146,1014.6,20150607,29.0-88.0,27.8,,,,,,,,0.0
147,1014.36,20150607,28.0-94.0,12.5,,48.9,,35.22,,,,0.0
148,1015.3,20150607,30.0-87.0,29.5,,,,,,,,0.0
149,1013.4,20150607,30.0-90.0,30.8,,,,,,,,0.0
150,1013.9,20150607,30.0-91.0,26.8,,,,,,,,0.0
151,1012.9,20150607,29.0-97.0,29.0,,,,,,,,0.0
152,1014.6,20150607,28.0-95.0,28.5,,,,,,,,0.0
153,1013.3,20150607,29.0-94.0,29.7,,,,,,,,0.0
154,1015.0,20150607,30.0-88.0,28.1,,67.0,6.4,5.7,,,,0.0
155,1014.382,20150607,30.0-89.0,29.979,,,,24.21,,,,0.0
156,1014.6,20150607,29.0-89.0,31.2,,,,,,,,0.0
157,1014.2,20150607,29.0-90.0,30.0,,88.3,,,,,,0.0
158,1013.5,20150607,29.0-91.0,24.0,,63.8,,0.141,,,,0.0
159,1012.855,20150607,30.0-93.0,30.07,,,,,,,,0.0
160,1012.5,20150607,29.0-95.0,29.054,,94.9,,18.1,,,,0.0
161,9999.0,20150607,28.0-96.0,28.4,,,,23.3568,,,,0.0
162,1013.9,20150607,30.0-95.0,32.0,,,,3.806,,,,0.0
163,1013.7,20150607,30.0-94.0,29.7,,,,18.676,,,,0.0
164,,20150607,28.0-89.0,27.8,,,,,,,,0.0
165,,20150607,30.0-92.0,28.3,,,,,,,,0.0
166,,20150607,28.0-88.0,30.4,,,,,,,,0.0
167,,20150607,28.0-97.0,,,,,0.9,,,,0.0
168,9999.0,20150608,29.0-92.0,30.3,,,,,,,,0.0
169,1013.9,20150608,28.0-92.0,30.0,,,,,,,,0.0
170,1014.6,20150608,29.0-88.0,27.2,,,,,,,,0.0
171,1014.34,20150608,28.0-94.0,14.5,,51.5,,34.36,,,,0.0
172,1014.8,20150608,30.0-87.0,29.2,,,,,,,,0.0
173,1013.8,20150608,30.0-91.0,27.8,,,,,,,,0.0
174,1013.9,20150608,30.0-92.0,28.4,,,,,,,,0.0
175,1013.0,20150608,29.0-97.0,29.4,,,,,,,,0.0
176,1014.8,20150608,28.0-95.0,28.9,,,,,,,,0.0
177,1013.5,20150608,29.0-94.0,29.2,,,,,,,,0.0
178,1014.6,20150608,30.0-88.0,28.3,,70.0,6.2,4.0,,,,0.0
179,1013.813,20150608,30.0-89.0,29.521,,,,17.87,,,,0.0
180,1014.6,20150608,29.0-89.0,27.9,,,,,,,,0.0
181,1013.2,20150608,30.0-90.0,25.2,,,,,,,,0.0
182,1014.1,20150608,29.0-90.0,29.1,,95.2,,,,,,0.0
183,1013.9,20150608,29.0-91.0,28.4,,64.8,,0.187,,,,0.0
184,1012.914,20150608,30.0-93.0,29.278,,,,,,,,0.0
185,1014.159,20150608,29.0-95.0,29.107,,95.6,,21.54,,,,0.0
186,9999.0,20150608,28.0-96.0,28.7,,,,23.6964,,,,0.0
187,1013.8,20150608,30.0-95.0,32.3,,,,4.112,,,,0.0
188,1013.5,20150608,30.0-94.0,29.8,,,,17.3228,,,,0.0
189,,20150608,28.0-89.0,27.8,,,,,,,,0.0
190,,20150608,28.0-88.0,28.9,,,,,,,,0.0
191,,20150608,28.0-97.0,,,,,0.9,,,,0.0
192,1014.2,20150609,30.0-92.0,28.4,,,,,,,,0.0
193,9999.0,20150609,29.0-92.0,24.3,,,,,,398.389282226562,,0.0
194,9999.0,20150609,29.0-92.0,24.3,,,,,,400.115966796875,,0.0
195,9999.0,20150609,29.0-92.0,24.3,,,,,,404.001312255859,,0.0
196,1012.2,20150609,28.0-92.0,30.6,,,,,,,,0.0
197,9999.0,20150609,29.0-88.0,27.2,,,,,,,,0.0
198,1012.37,20150609,28.0-94.0,11.6,,52.7,,34.57,,,,0.0
199,1012.1,20150609,30.0-87.0,26.9,,,,,,,,0.0
200,1010.1,20150609,29.0-97.0,29.9,,,,,,,,0.0
201,1012.1,20150609,28.0-95.0,29.2,,,,,,,,0.0
202,1010.9,20150609,29.0-94.0,29.3,,,,,,,,0.0
203,1012.6,20150609,30.0-88.0,26.7,,72.0,6.04,2.7,,,,0.0
204,1012.128,20150609,30.0-89.0,26.194,,68.0,,20.72,,,,0.0
205,1012.9,20150609,29.0-89.0,26.8,,,,,,,,0.0
206,1012.3,20150609,29.0-90.0,26.1,,81.9,,,,,,0.0
207,1012.0,20150609,30.0-90.0,22.4,,,,,,,,0.0
208,1012.1,20150609,30.0-91.0,22.3,,,,,,,,0.0
209,1011.1,20150609,29.0-91.0,24.1,,77.4,,0.189,,,,0.0
210,1012.614,20150609,30.0-93.0,21.128,,,,,,,,0.0
211,1011.455,20150609,29.0-95.0,29.168,,96.7,,21.19,,,,0.0
212,9999.0,20150609,28.0-96.0,28.7,,,,25.4741,,,,0.0
213,1011.1,20150609,30.0-95.0,31.6,,,,4.336,,,,0.0
214,1011.6,20150609,30.0-94.0,29.5,,,,19.0944,,,,0.0
215,,20150609,28.0-89.0,27.8,,,,,,,,0.0
216,,20150609,28.0-88.0,28.2,,,,,,,,0.0
217,,20150609,28.0-97.0,,,,,1.0,,,,0.0
218,9999.0,20150610,29.0-92.0,30.2,,,,,,,,0.0
219,1010.5,20150610,28.0-92.0,28.9,,,,,,,,0.0
220,1011.9,20150610,29.0-88.0,26.1,,,,,,,,0.0
221,1010.55,20150610,28.0-94.0,13.1,,45.9,,34.1,,,,0.0
222,1012.8,20150610,30.0-87.0,27.8,,,,,,,,0.0
223,1010.3,20150610,30.0-91.0,27.4,,,,,,,,0.0
224,1010.1,20150610,30.0-92.0,28.2,,,,,,,,0.0
225,1008.8,20150610,29.0-97.0,29.5,,,,,,,,0.0
226,1010.4,20150610,28.0-95.0,29.3,,,,,,,,0.0
227,1008.9,20150610,29.0-94.0,29.5,,,,,,,,0.0
228,1012.1,20150610,30.0-88.0,26.4,,80.0,6.57,3.5,,,,0.0
229,1011.305,20150610,30.0-89.0,28.501,,68.0,,19.67,,,,0.0
230,1011.7,20150610,29.0-89.0,27.8,,,,,,,,0.0
231,1010.4,20150610,30.0-90.0,28.3,,,,,,,,0.0
232,1011.0,20150610,29.0-90.0,28.4,,75.7,,,,,,0.0
233,1009.9,20150610,29.0-91.0,27.7,,69.7,,0.188,,,,0.0
234,1009.151,20150610,30.0-93.0,29.182,,,,,,,,0.0
235,1009.941,20150610,29.0-95.0,29.307,,96.9,,21.86,,,,0.0
236,9999.0,20150610,28.0-96.0,28.8,,,,24.7461,,,,0.0
237,1009.2,20150610,30.0-95.0,31.9,,,,5.938,,,,0.0
238,1009.2,20150610,30.0-94.0,29.9,,,,24.3799,,,,0.0
239,,20150610,28.0-89.0,27.6,,,,,,,,0.0
240,,20150610,28.0-88.0,29.6,,,,,,,,0.0
241,,20150610,28.0-97.0,,,,,1.1,,,,0.0
242,1013.9,20150611,29.0-88.0,25.6,,,,,,,,0.0
243,9999.0,20150611,29.0-92.0,29.0,,,,,,397.381317138672,,0.0
244,9999.0,20150611,29.0-92.0,29.0,,,,,,401.841796875,,0.0
245,1011.2,20150611,28.0-92.0,28.9,,,,,,,,0.0
246,1011.03,20150611,28.0-94.0,12.3,,56.7,,33.93,,,,0.0
247,1015.2,20150611,30.0-87.0,27.1,,,,,,,,0.0
248,1011.6,20150611,30.0-92.0,28.1,,,,,,,,0.0
249,1008.4,20150611,29.0-97.0,29.1,,,,,,,,0.0
250,1010.1,20150611,28.0-95.0,29.1,,,,,,,,0.0
251,1010.2,20150611,29.0-94.0,29.4,,,,,,,,0.0
252,1014.5,20150611,30.0-88.0,26.9,,78.0,6.37,3.0,,,,0.0
253,1013.189,20150611,30.0-89.0,28.549,,68.0,,20.32,,,,0.0
254,1013.8,20150611,29.0-89.0,27.5,,,,,,,,0.0
255,1012.7,20150611,30.0-90.0,27.2,,,,,,,,0.0
256,1013.2,20150611,29.0-90.0,28.0,,69.0,,,,,,0.0
257,1012.5,20150611,30.0-91.0,26.9,,,,,,,,0.0
258,1012.0,20150611,29.0-91.0,27.9,,65.7,,0.233,,,,0.0
259,1010.352,20150611,30.0-93.0,29.097,,,,,,,,0.0
260,1010.381,20150611,29.0-95.0,29.191,,97.7,,25.08,,,,0.0
261,9999.0,20150611,28.0-96.0,29.0,,,,24.8803,,,,0.0
262,1010.6,20150611,30.0-95.0,31.4,,,,5.969,,,,0.0
263,1011.0,20150611,30.0-94.0,29.9,,,,21.0858,,,,0.0
264,,20150611,28.0-89.0,25.9,,,,,,,,0.0
265,,20150611,28.0-88.0,27.6,,,,,,,,0.0
266,,20150611,28.0-97.0,,,,,1.0,,,,0.0
267,9999.0,20150612,29.0-92.0,29.8,,,,,,,,0.0
268,1012.5,20150612,28.0-92.0,28.9,,,,,,,,0.0
269,1016.9,20150612,29.0-88.0,27.8,,,,,,,,0.0
270,1011.62,20150612,28.0-94.0,12.8,,55.5,,34.24,,,,0.0
271,1018.3,20150612,30.0-87.0,28.4,,,,,,,,0.0
272,1008.7,20150612,29.0-97.0,29.2,,,,,,,,0.0
273,1010.0,20150612,28.0-95.0,28.5,,,,,,,,0.0
274,1010.6,20150612,29.0-94.0,29.0,,,,,,,,0.0
275,1017.5,20150612,30.0-88.0,28.1,,78.0,6.85,1.8,,,,0.0
276,1016.985,20150612,30.0-89.0,27.078,,77.0,,16.05,,,,0.0
277,1016.2,20150612,29.0-89.0,28.8,,,,,,,,0.0
278,1015.8,20150612,29.0-90.0,28.3,,83.3,,,,,,0.0
279,1015.5,20150612,30.0-90.0,22.8,,,,,,,,0.0
280,1015.1,20150612,30.0-91.0,23.7,,,,,,,,0.0
281,1014.2,20150612,29.0-91.0,24.9,,76.5,,0.234,,,,0.0
282,1013.6,20150612,30.0-92.0,27.9,,,,,,,,0.0
283,1011.993,20150612,30.0-93.0,28.567,,,,,,,,0.0
284,1010.842,20150612,29.0-95.0,29.144,,98.3,,25.08,,,,0.0
285,9999.0,20150612,28.0-96.0,29.4,,,,24.8444,,,,0.0
286,1011.4,20150612,30.0-95.0,31.0,,,,5.969,,,,0.0
287,1012.1,20150612,30.0-94.0,28.6,,,,24.1008,,,,0.0
288,,20150612,28.0-89.0,28.0,,,,,,,,0.0
289,,20150612,28.0-88.0,28.8,,,,,,,,0.0
290,,20150612,28.0-97.0,,,,,0.9,,,,0.0
291,9999.0,20150613,29.0-92.0,27.4,,,,,,403.382995605469,,0.0
292,9999.0,20150613,29.0-92.0,27.4,,,,,,402.694732666016,,0.0
293,1013.5,20150613,28.0-92.0,27.8,,,,,,,,0.0
294,1016.9,20150613,29.0-88.0,27.8,,,,,,,,0.0
295,1012.39,20150613,28.0-94.0,11.8,,60.2,,34.3,,,,0.0
296,1018.5,20150613,30.0-87.0,28.5,,,,,,,,0.0
297,1010.9,20150613,28.0-95.0,28.8,,,,,,,,0.0
298,1011.6,20150613,29.0-94.0,27.3,,,,,,,,0.0
299,1017.4,20150613,30.0-88.0,28.6,,88.0,6.62,1.7,,,,0.0
300,1016.817,20150613,30.0-89.0,28.682,,76.0,,19.27,,,,0.0
301,1016.5,20150613,29.0-89.0,28.9,,,,,,,,0.0
302,1016.1,20150613,29.0-90.0,28.5,,71.4,,,,,,0.0
303,1015.1,20150613,30.0-90.0,28.1,,,,,,,,0.0
304,1015.2,20150613,30.0-91.0,26.8,,,,,,,,0.0
305,1015.0,20150613,29.0-91.0,25.6,,72.3,,0.231,,,,0.0
306,1014.2,20150613,30.0-92.0,26.3,,,,,,,,0.0
307,1012.295,20150613,30.0-93.0,24.473,,,,,,,,0.0
308,1012.035,20150613,29.0-95.0,26.034,,99.2,,26.27,,,,0.0
309,1009.2,20150613,29.0-97.0,28.8,,,,,,,,0.0
310,9999.0,20150613,28.0-96.0,28.1,,,,24.8619,,,,0.0
311,1012.3,20150613,30.0-95.0,28.8,,,,3.528,,,,0.0
312,1012.7,20150613,30.0-94.0,26.6,,,,22.0977,,,,0.0
313,,20150613,28.0-89.0,27.8,,,,,,,,0.0
314,,20150613,28.0-88.0,28.8,,,,,,,,0.0
315,,20150613,28.0-97.0,,,,,0.9,,,,0.0
316,9999.0,20150614,29.0-92.0,27.4,,,,,,,,0.0
317,1012.5,20150614,28.0-92.0,27.8,,,,,,,,0.0
318,1015.9,20150614,29.0-88.0,27.2,,,,,,,,0.0
319,1011.95,20150614,28.0-94.0,10.4,,64.8,,34.39,,,,0.0
320,1017.2,20150614,30.0-87.0,29.1,,,,,,,,0.0
321,1010.2,20150614,29.0-97.0,28.8,,,,,,,,0.0
322,1011.1,20150614,28.0-95.0,28.8,,,,,,,,0.0
323,1011.6,20150614,29.0-94.0,28.3,,,,,,,,0.0
324,1016.7,20150614,30.0-88.0,28.3,,77.0,6.75,1.5,,,,0.0
325,1015.944,20150614,30.0-89.0,28.107,,77.0,,17.23,,,,0.0
326,1015.5,20150614,29.0-89.0,29.1,,,,,,,,0.0
327,1015.0,20150614,29.0-90.0,28.4,,72.2,,,,,,0.0
328,1014.3,20150614,30.0-90.0,28.5,,,,,,,,0.0
329,1014.5,20150614,30.0-91.0,27.4,,,,,,,,0.0
330,1013.9,20150614,29.0-91.0,27.7,,77.3,,1.064,,,,0.0
331,1013.7,20150614,30.0-92.0,27.5,,,,,,,,0.0
332,1012.095,20150614,30.0-93.0,28.132,,,,,,,,0.0
333,1012.0,20150614,29.0-95.0,27.791,,-999.0,,24.35,,,,0.0
334,9999.0,20150614,28.0-96.0,28.9,,,,25.0712,,,,0.0
335,1012.2,20150614,30.0-95.0,30.9,,,,4.015,,,,0.0
336,1012.7,20150614,30.0-94.0,29.4,,,,20.8528,,,,0.0
337,,20150614,28.0-89.0,27.3,,,,,,,,0.0
338,,20150614,28.0-88.0,28.2,,,,,,,,0.0
339,,20150614,28.0-97.0,,,,,0.8,,,,0.0
340,1011.8,20150615,28.0-95.0,28.0,,,,,,,,0.0
341,1012.9,20150615,29.0-94.0,27.8,,,,,,,,0.0
342,1019.3,20150615,30.0-87.0,29.8,,,,,,,,0.0
343,1015.9,20150615,30.0-91.0,27.6,,,,,,,,0.0
344,1014.8,20150615,30.0-92.0,27.3,,,,,,,,0.0
345,1012.5,20150615,29.0-97.0,26.5,,,,,,,,0.0
346,1017.949,20150615,30.0-89.0,28.256,,82.0,,17.39,,,,0.0
347,1017.4,20150615,29.0-89.0,26.5,,,,,,,,0.0
348,1016.6,20150615,30.0-90.0,28.5,,,,,,,,0.0
349,1013.896,20150615,30.0-93.0,27.281,,,,,,,,0.0
350,1016.9,20150615,29.0-88.0,27.8,,,,,,,,0.0
351,9999.0,20150615,29.0-92.0,28.0,,,,,,401.934509277344,,0.0
352,1009.8,20150615,28.0-92.0,27.2,,,,,,,,0.0
353,1018.0,20150615,30.0-88.0,29.54,,74.79,7.16,27.36,,,,0.0
354,1009.52,20150615,29.0-95.0,20.4,,-999.0,,23.6,,,,0.0
355,1007.49,20150615,28.0-94.0,9.8,,63.6,,34.5,,,,0.0
356,1016.2,20150615,29.0-90.0,27.0,,84.0,,,,,,0.0
357,760.2,20150615,29.0-91.0,28.28,,72.7,,15.05,,,,0.0
358,9999.0,20150615,28.0-96.0,27.3,,,,25.2835,,,,0.0
359,1010.6,20150615,30.0-95.0,29.9,,,,4.462,,,,0.0
360,1011.7,20150615,30.0-94.0,27.9,,,,15.4722,,,,0.0
361,,20150615,28.0-89.0,27.5,,,,,,,,0.0
362,,20150615,28.0-88.0,28.5,,,,,,,,0.0
363,,20150615,28.0-97.0,,,,,26.503,,,,0.0
364,1003.5,20150616,28.0-95.0,26.0,,,,,,,,0.0
365,9999.0,20150616,29.0-92.0,28.4,,,,,,,,0.0
366,1015.2,20150616,28.0-92.0,27.8,,,,,,,,0.0
367,1018.0,20150616,29.0-88.0,27.8,,,,,,,,0.0
368,1012.98,20150616,28.0-94.0,9.6,,63.6,,34.99,,,,0.0
369,1018.7,20150616,30.0-87.0,31.1,,,,,,,,0.0
370,1016.5,20150616,30.0-90.0,30.0,,,,,,,,0.0
371,1016.7,20150616,30.0-91.0,28.4,,,,,,,,0.0
372,1015.3,20150616,30.0-92.0,28.4,,,,,,,,0.0
373,1003.0,20150616,29.0-97.0,25.1,,,,,,,,0.0
374,1011.2,20150616,29.0-94.0,27.4,,,,,,,,0.0
375,1018.3,20150616,30.0-88.0,28.5,,74.0,7.18,5.6,,,,0.0
376,1017.733,20150616,30.0-89.0,28.939,,76.0,,18.3,,,,0.0
377,1018.0,20150616,29.0-89.0,29.5,,,,,,,,0.0
378,1017.5,20150616,29.0-90.0,28.8,,71.5,,,,,,0.0
379,1016.1,20150616,29.0-91.0,28.5,,79.9,,1.312,,,,0.0
380,1012.921,20150616,30.0-93.0,28.324,,,,,,,,0.0
381,1012.4,20150616,29.0-95.0,27.0,,-999.0,,22.86,,,,0.0
382,9999.0,20150616,28.0-96.0,26.5,,,,28.3458,0.0,,,1.0
383,1012.2,20150616,30.0-95.0,29.4,,,,2.73,,,,0.0
384,1013.7,20150616,30.0-94.0,26.6,,,,22.8383,,,,0.0
